Species1GeneID	Species1ProteinID	Species1GeneName	Species2GeneID	Species2ProteinID	Species2GeneName
ENSEEEG00000000006	ENSEEEP00000000008	RNF216	ENSPKIG00000010505	ENSPKIP00000029178	RNF216
ENSEEEG00000000013	ENSEEEP00000000018	mmd2a	ENSPKIG00000010889	ENSPKIP00000029772	MMD2
ENSEEEG00000000021	ENSEEEP00000000045	chst12a	ENSPKIG00000010039	ENSPKIP00000028357	chst12a
ENSEEEG00000000022	ENSEEEP00000000046		ENSPKIG00000010073	ENSPKIP00000028460	
ENSEEEG00000000027	ENSEEEP00000000059	RAB3C	ENSPKIG00000018618	ENSPKIP00000011600	rab3c
ENSEEEG00000000029	ENSEEEP00000000061	drd4b	ENSPKIG00000002751	ENSPKIP00000016426	DRD4
ENSEEEG00000000036	ENSEEEP00000000066	igfbp6b	ENSPKIG00000002747	ENSPKIP00000016450	igfbp6b
ENSEEEG00000000039	ENSEEEP00000000069	CSRNP2	ENSPKIG00000014832	ENSPKIP00000036164	CSRNP2
ENSEEEG00000000042	ENSEEEP00000000071	NOL7	ENSPKIG00000008152	ENSPKIP00000025191	nol7
ENSEEEG00000000043	ENSEEEP00000000072	SHROOM4	ENSPKIG00000001493	ENSPKIP00000014417	shroom4
ENSEEEG00000000040	ENSEEEP00000000073	SIRT3	ENSPKIG00000002937	ENSPKIP00000016764	sirt3
ENSEEEG00000000045	ENSEEEP00000000076	STEEP1	ENSPKIG00000012535	ENSPKIP00000032442	steep1
ENSEEEG00000000048	ENSEEEP00000000078	BMP15	ENSPKIG00000001503	ENSPKIP00000014432	bmp15
ENSEEEG00000000052	ENSEEEP00000000081	LEAP2	ENSPKIG00000020162	ENSPKIP00000002152	leap2
ENSEEEG00000000054	ENSEEEP00000000084	ZBTB14	ENSPKIG00000004399	ENSPKIP00000019075	zbtb14
ENSEEEG00000000050	ENSEEEP00000000087		ENSPKIG00000022407	ENSPKIP00000005912	
ENSEEEG00000000056	ENSEEEP00000000089	AP5S1	ENSPKIG00000023623	ENSPKIP00000007900	ap5s1
ENSEEEG00000000055	ENSEEEP00000000090	buc	ENSPKIG00000011730	ENSPKIP00000031102	buc
ENSEEEG00000000060	ENSEEEP00000000093	RNF152	ENSPKIG00000011701	ENSPKIP00000031051	RNF152
ENSEEEG00000000061	ENSEEEP00000000094	fam210aa	ENSPKIG00000000112	ENSPKIP00000012254	fam210aa
ENSEEEG00000000067	ENSEEEP00000000095	si:dkey-3h3.3	ENSPKIG00000007403	ENSPKIP00000023969	
ENSEEEG00000000068	ENSEEEP00000000097	CDC25B	ENSPKIG00000004805	ENSPKIP00000019766	
ENSEEEG00000000065	ENSEEEP00000000103		ENSPKIG00000017509	ENSPKIP00000040618	
ENSEEEG00000000071	ENSEEEP00000000104	dusp13a	ENSPKIG00000000029	ENSPKIP00000012130	DUSP13B
ENSEEEG00000000063	ENSEEEP00000000106	UPF1	ENSPKIG00000006069	ENSPKIP00000021830	upf1
ENSEEEG00000000075	ENSEEEP00000000107	P2RY14	ENSPKIG00000014742	ENSPKIP00000036008	P2RY14
ENSEEEG00000000073	ENSEEEP00000000108	noto	ENSPKIG00000004701	ENSPKIP00000019593	noto
ENSEEEG00000000072	ENSEEEP00000000110	RNMT	ENSPKIG00000000087	ENSPKIP00000012219	rnmt
ENSEEEG00000000077	ENSEEEP00000000112	zgc:153981	ENSPKIG00000011047	ENSPKIP00000030032	zgc:153981
ENSEEEG00000000081	ENSEEEP00000000115	EMX1	ENSPKIG00000025215	ENSPKIP00000010524	emx1
ENSEEEG00000000080	ENSEEEP00000000116	GZF1	ENSPKIG00000017544	ENSPKIP00000040682	zbtb24
ENSEEEG00000000083	ENSEEEP00000000117	si:ch211-223p8.8	ENSPKIG00000000010	ENSPKIP00000012093	si:ch211-223p8.8
ENSEEEG00000000082	ENSEEEP00000000118	TTC36	ENSPKIG00000015965	ENSPKIP00000038006	ttc36
ENSEEEG00000000088	ENSEEEP00000000124	HYAL3	ENSPKIG00000001624	ENSPKIP00000014597	hyal3
ENSEEEG00000000087	ENSEEEP00000000125	mc5ra	ENSPKIG00000017392	ENSPKIP00000040414	mc5ra
