Species1GeneID	Species1ProteinID	Species1GeneName	Species2GeneID	Species2ProteinID	Species2GeneName
ENSG00000004059	ENSP00000000233	ARF5	ENSPKIG00000025349	ENSPKIP00000010755	zgc:110286
ENSG00000003056	ENSP00000000412	M6PR	ENSPKIG00000020721	ENSPKIP00000003061	m6pr
ENSG00000003509	ENSP00000002125	NDUFAF7	ENSPKIG00000023222	ENSPKIP00000007250	ndufaf7
ENSG00000002587	ENSP00000002596	HS3ST1	ENSPKIG00000024125	ENSPKIP00000008776	HS3ST1
ENSG00000006611	ENSP00000005226	USH1C	ENSPKIG00000002131	ENSPKIP00000015429	ush1c
ENSG00000006451	ENSP00000005257	RALA	ENSPKIG00000004423	ENSPKIP00000019130	ralaa
ENSG00000006116	ENSP00000005284	CACNG3	ENSPKIG00000012783	ENSPKIP00000032844	CACNG3
ENSG00000005175	ENSP00000005386	RPAP3	ENSPKIG00000018036	ENSPKIP00000041530	rpap3
ENSG00000005020	ENSP00000005587	SKAP2	ENSPKIG00000009409	ENSPKIP00000027296	skap2
ENSG00000005073	ENSP00000006015	HOXA11	ENSPKIG00000000203	ENSPKIP00000012392	hoxa11a
ENSG00000005448	ENSP00000006526	WDR54	ENSPKIG00000003958	ENSPKIP00000018371	wdr54
ENSG00000006282	ENSP00000006658	SPATA20	ENSPKIG00000021415	ENSPKIP00000004218	SPATA20
ENSG00000005486	ENSP00000006777	RHBDD2	ENSPKIG00000014382	ENSPKIP00000035415	rhbdd2
ENSG00000007520	ENSP00000007390	TSR3	ENSPKIG00000006943	ENSPKIP00000023236	tsr3
ENSG00000004779	ENSP00000007516	NDUFAB1	ENSPKIG00000018748	ENSPKIP00000011802	ndufab1a
ENSG00000010626	ENSP00000007969	LRRC23	ENSPKIG00000007338	ENSPKIP00000023875	lrrc23
ENSG00000008197	ENSP00000008391	TFAP2D	ENSPKIG00000021570	ENSPKIP00000004496	tfap2d
ENSG00000008438	ENSP00000008938	PGLYRP1	ENSPKIG00000012093	ENSPKIP00000031713	pglyrp5
ENSG00000010270	ENSP00000009041	STARD3NL	ENSPKIG00000016225	ENSPKIP00000038473	stard3nl
ENSG00000008118	ENSP00000009105	CAMK1G	ENSPKIG00000015360	ENSPKIP00000037005	camk1gb
ENSG00000019582	ENSP00000009530	CD74	ENSPKIG00000009604	ENSPKIP00000027610	
ENSG00000009780	ENSP00000010299	FAM76A	ENSPKIG00000022004	ENSPKIP00000005290	FAM76A
ENSG00000011485	ENSP00000012443	PPP5C	ENSPKIG00000017925	ENSPKIP00000041359	ppp5c
ENSG00000012061	ENSP00000013807	ERCC1	ENSPKIG00000007852	ENSPKIP00000024704	ercc1
ENSG00000014919	ENSP00000016171	COX15	ENSPKIG00000007901	ENSPKIP00000024794	cox15
ENSG00000080293	ENSP00000019103	SCTR	ENSPKIG00000015373	ENSPKIP00000037038	sctr
ENSG00000017797	ENSP00000019317	RALBP1	ENSPKIG00000008882	ENSPKIP00000026386	ralbp1
ENSG00000019505	ENSP00000020926	SYT13	ENSPKIG00000002827	ENSPKIP00000016549	SYT13
ENSG00000019549	ENSP00000020945	SNAI2	ENSPKIG00000002254	ENSPKIP00000015593	SNAI2
ENSG00000022277	ENSP00000023939	RTF2	ENSPKIG00000016746	ENSPKIP00000039360	rtf2
ENSG00000023287	ENSP00000025008	RB1CC1	ENSPKIG00000004705	ENSPKIP00000019665	RB1CC1
ENSG00000023516	ENSP00000025301	AKAP11	ENSPKIG00000007325	ENSPKIP00000023859	AKAP11
