Species1GeneID	Species1ProteinID	Species1GeneName	Species2GeneID	Species2ProteinID	Species2GeneName
ENSDARG00000000001	ENSDARP00000000004	SLC35A5	ENSPKIG00000003144	ENSPKIP00000017099	slc35a5
ENSDARG00000000069	ENSDARP00000000070	DAP	ENSPKIG00000005766	ENSPKIP00000021306	dap
ENSDARG00000000474	ENSDARP00000000488	TNNI1	ENSPKIG00000011263	ENSPKIP00000030411	tnni1a
ENSDARG00000000529	ENSDARP00000000952	OFD1	ENSPKIG00000020235	ENSPKIP00000002313	ofd1
ENSDARG00000001734	ENSDARP00000000956	FKBP8	ENSPKIG00000017759	ENSPKIP00000041049	fkbp8
ENSDARG00000001249	ENSDARP00000001039	PCGF1	ENSPKIG00000019995	ENSPKIP00000001885	pcgf1
ENSDARG00000000651	ENSDARP00000001156	OSGEPL1	ENSPKIG00000014986	ENSPKIP00000036397	osgepl1
ENSDARG00000001557	ENSDARP00000001240	tomm34	ENSPKIG00000022953	ENSPKIP00000006822	tomm34
ENSDARG00000000476	ENSDARP00000001250	PMS1	ENSPKIG00000014918	ENSPKIP00000036305	pms1
ENSDARG00000001656	ENSDARP00000001256	psmb13a	ENSPKIG00000019313	ENSPKIP00000000773	psmb13a
ENSDARG00000033450	ENSDARP00000001288	NKAPL	ENSPKIG00000019447	ENSPKIP00000000990	
ENSDARG00000024032	ENSDARP00000001291	COCH	ENSPKIG00000013154	ENSPKIP00000033481	coch
ENSDARG00000001313	ENSDARP00000001315	g2e3	ENSPKIG00000019286	ENSPKIP00000000732	g2e3
ENSDARG00000001057	ENSDARP00000001346	BYSL	ENSPKIG00000001265	ENSPKIP00000014058	bysl
ENSDARG00000000760	ENSDARP00000001399	ZNF511	ENSPKIG00000017314	ENSPKIP00000040291	znf511
ENSDARG00000001169	ENSDARP00000001459	hsd17b8	ENSPKIG00000020097	ENSPKIP00000002064	hsd17b8
ENSDARG00000001578	ENSDARP00000001565	ECHS1	ENSPKIG00000017267	ENSPKIP00000040222	echs1
ENSDARG00000000690	ENSDARP00000001793	SYPL2	ENSPKIG00000004480	ENSPKIP00000019226	sypl2a
ENSDARG00000000887	ENSDARP00000001807	gtsf1	ENSPKIG00000017039	ENSPKIP00000039828	gtsf1
ENSDARG00000031885	ENSDARP00000001845	psmb12	ENSPKIG00000019337	ENSPKIP00000000813	psmb12
ENSDARG00000074425	ENSDARP00000001953	si:busm1-57f23.1	ENSPKIG00000023163	ENSPKIP00000007149	si:busm1-57f23.1
ENSDARG00000001210	ENSDARP00000002005	arl14ep	ENSPKIG00000000982	ENSPKIP00000013628	arl14ep
ENSDARG00000000804	ENSDARP00000002041	RASSF6	ENSPKIG00000023173	ENSPKIP00000007163	rassf6
ENSDARG00000018961	ENSDARP00000002061	GTPBP4	ENSPKIG00000012301	ENSPKIP00000032075	gtpbp4
ENSDARG00000004308	ENSDARP00000002079	FAM8A1	ENSPKIG00000018357	ENSPKIP00000011891	fam8a1b
ENSDARG00000041689	ENSDARP00000002107	USF1	ENSPKIG00000020259	ENSPKIP00000002321	usf1
