Species1GeneID	Species1ProteinID	Species1GeneName	Species2GeneID	Species2ProteinID	Species2GeneName
ENSG00000004059	ENSP00000000233	ARF5	ENSEEEG00000010673	ENSEEEP00000022068	arf4a
ENSG00000003056	ENSP00000000412	M6PR	ENSEEEG00000019680	ENSEEEP00000041603	M6PR
ENSG00000003509	ENSP00000002125	NDUFAF7	ENSEEEG00000009632	ENSEEEP00000019697	NDUFAF7
ENSG00000002587	ENSP00000002596	HS3ST1	ENSEEEG00000006367	ENSEEEP00000012683	HS3ST1
ENSG00000006611	ENSP00000005226	USH1C	ENSEEEG00000007432	ENSEEEP00000014923	USH1C
ENSG00000006451	ENSP00000005257	RALA	ENSEEEG00000025612	ENSEEEP00000055216	ralaa
ENSG00000006453	ENSP00000005260	BAIAP2L1	ENSEEEG00000004610	ENSEEEP00000008971	baiap2l1b
ENSG00000006116	ENSP00000005284	CACNG3	ENSEEEG00000018137	ENSEEEP00000038163	cacng3b
ENSG00000005175	ENSP00000005386	RPAP3	ENSEEEG00000005627	ENSEEEP00000011117	RPAP3
ENSG00000005020	ENSP00000005587	SKAP2	ENSEEEG00000014726	ENSEEEP00000030771	SKAP2
ENSG00000005073	ENSP00000006015	HOXA11	ENSEEEG00000014719	ENSEEEP00000030760	hoxa11b
ENSG00000005448	ENSP00000006526	WDR54	ENSEEEG00000004155	ENSEEEP00000007963	WDR54
ENSG00000006282	ENSP00000006658	SPATA20	ENSEEEG00000011831	ENSEEEP00000056283	SPATA20
ENSG00000005486	ENSP00000006777	RHBDD2	ENSEEEG00000017317	ENSEEEP00000036419	RHBDD2
ENSG00000007520	ENSP00000007390	TSR3	ENSEEEG00000010806	ENSEEEP00000022257	TSR3
ENSG00000004779	ENSP00000007516	NDUFAB1	ENSEEEG00000006323	ENSEEEP00000012603	ndufab1b
ENSG00000010626	ENSP00000007969	LRRC23	ENSEEEG00000006839	ENSEEEP00000013721	LRRC23
ENSG00000008197	ENSP00000008391	TFAP2D	ENSEEEG00000015715	ENSEEEP00000033008	TFAP2D
ENSG00000010270	ENSP00000009041	STARD3NL	ENSEEEG00000023573	ENSEEEP00000050116	STARD3NL
ENSG00000008118	ENSP00000009105	CAMK1G	ENSEEEG00000002019	ENSEEEP00000003836	camk1gb
ENSG00000019582	ENSP00000009530	CD74	ENSEEEG00000014768	ENSEEEP00000055587	cd74a
ENSG00000011478	ENSP00000012049	QPCTL	ENSEEEG00000003045	ENSEEEP00000005765	qpctlb
ENSG00000011485	ENSP00000012443	PPP5C	ENSEEEG00000003432	ENSEEEP00000063694	PPP5C
ENSG00000012061	ENSP00000013807	ERCC1	ENSEEEG00000019317	ENSEEEP00000040762	ERCC1
ENSG00000014919	ENSP00000016171	COX15	ENSEEEG00000013570	ENSEEEP00000028248	cox15
ENSG00000017797	ENSP00000019317	RALBP1	ENSEEEG00000008137	ENSEEEP00000016440	RALBP1
ENSG00000019505	ENSP00000020926	SYT13	ENSEEEG00000013585	ENSEEEP00000028256	SYT13
ENSG00000019549	ENSP00000020945	SNAI2	ENSEEEG00000010911	ENSEEEP00000022482	SNAI2
ENSG00000022277	ENSP00000023939	RTF2	ENSEEEG00000007762	ENSEEEP00000015676	RTF2
ENSG00000023287	ENSP00000025008	RB1CC1	ENSEEEG00000010917	ENSEEEP00000022548	RB1CC1
ENSG00000023516	ENSP00000025301	AKAP11	ENSEEEG00000005791	ENSEEEP00000011463	AKAP11
ENSG00000023734	ENSP00000025399	STRAP	ENSEEEG00000010738	ENSEEEP00000022094	STRAP
ENSG00000007541	ENSP00000026218	PIGQ	ENSEEEG00000021407	ENSEEEP00000045450	PIGQ
ENSG00000079112	ENSP00000027335	CDH17	ENSEEEG00000020180	ENSEEEP00000042772	CDH17
ENSG00000027847	ENSP00000029410	B4GALT7	ENSEEEG00000014644	ENSEEEP00000030571	B4GALT7
ENSG00000034713	ENSP00000037243	GABARAPL2	ENSEEEG00000006251	ENSEEEP00000012456	GABARAPL2
ENSG00000034971	ENSP00000037502	MYOC	ENSEEEG00000011890	ENSEEEP00000024521	MYOC
ENSG00000037965	ENSP00000040584	HOXC8	ENSEEEG00000020360	ENSEEEP00000043121	hoxc8a
ENSG00000037757	ENSP00000040663	MRI1	ENSEEEG00000004835	ENSEEEP00000009472	MRI1
ENSG00000059588	ENSP00000040877	TARBP1	ENSEEEG00000024095	ENSEEEP00000051347	si:dkey-85a20.4
ENSG00000041357	ENSP00000044462	PSMA4	ENSEEEG00000017962	ENSEEEP00000037788	PSMA4
ENSG00000043462	ENSP00000046794	LCP2	ENSEEEG00000007439	ENSEEEP00000014935	lcp2a
