Species1GeneID	Species1ProteinID	Species1GeneName	Species2GeneID	Species2ProteinID	Species2GeneName
ENSDARG00000000001	ENSDARP00000000004	SLC35A5	ENSEEEG00000005387	ENSEEEP00000010631	SLC35A5
ENSDARG00000000068	ENSDARP00000000069	NHERF1	ENSEEEG00000016059	ENSEEEP00000033718	slc9a3r1a
ENSDARG00000000241	ENSDARP00000000250	SLC40A1	ENSEEEG00000023227	ENSEEEP00000049416	SLC40A1
ENSDARG00000000529	ENSDARP00000000952	OFD1	ENSEEEG00000012965	ENSEEEP00000026854	OFD1
ENSDARG00000001734	ENSDARP00000000956	FKBP8	ENSEEEG00000012388	ENSEEEP00000025523	FKBP8
ENSDARG00000001249	ENSDARP00000001039	PCGF1	ENSEEEG00000016039	ENSEEEP00000033703	PCGF1
ENSDARG00000000651	ENSDARP00000001156	OSGEPL1	ENSEEEG00000023216	ENSEEEP00000049400	OSGEPL1
ENSDARG00000000656	ENSDARP00000001220	PSMB9	ENSEEEG00000022604	ENSEEEP00000047976	psmb9a
ENSDARG00000001557	ENSDARP00000001240	tomm34	ENSEEEG00000002493	ENSEEEP00000004764	TOMM34
ENSDARG00000000476	ENSDARP00000001250	PMS1	ENSEEEG00000023210	ENSEEEP00000049387	PMS1
ENSDARG00000001656	ENSDARP00000001256	psmb13a	ENSEEEG00000022573	ENSEEEP00000047970	psmb13a
ENSDARG00000033450	ENSDARP00000001288	NKAPL	ENSEEEG00000014490	ENSEEEP00000030225	NKAP
ENSDARG00000024032	ENSDARP00000001291	COCH	ENSEEEG00000001946	ENSEEEP00000003532	COCH
ENSDARG00000001313	ENSDARP00000001315	g2e3	ENSEEEG00000002446	ENSEEEP00000053914	G2E3
ENSDARG00000001057	ENSDARP00000001346	BYSL	ENSEEEG00000027743	ENSEEEP00000057353	BYSL
ENSDARG00000000760	ENSDARP00000001399	ZNF511	ENSEEEG00000002580	ENSEEEP00000004954	ZNF511
ENSDARG00000001169	ENSDARP00000001459	hsd17b8	ENSEEEG00000016219	ENSEEEP00000034047	HSD17B8
ENSDARG00000001578	ENSDARP00000001565	ECHS1	ENSEEEG00000002588	ENSEEEP00000004974	ECHS1
ENSDARG00000000690	ENSDARP00000001793	SYPL2	ENSEEEG00000024877	ENSEEEP00000062397	sypl2b
ENSDARG00000000887	ENSDARP00000001807	gtsf1	ENSEEEG00000004943	ENSEEEP00000009690	zgc:56699
ENSDARG00000031885	ENSDARP00000001845	psmb12	ENSEEEG00000022603	ENSEEEP00000047974	psmb12
ENSDARG00000074425	ENSDARP00000001953	si:busm1-57f23.1	ENSEEEG00000002568	ENSEEEP00000004926	si:busm1-57f23.1
ENSDARG00000001210	ENSDARP00000002005	arl14ep	ENSEEEG00000003336	ENSEEEP00000006260	ARL14EP
ENSDARG00000000804	ENSDARP00000002041	RASSF6	ENSEEEG00000002570	ENSEEEP00000004929	RASSF6
ENSDARG00000018961	ENSDARP00000002061	GTPBP4	ENSEEEG00000012567	ENSEEEP00000059168	GTPBP4
ENSDARG00000004308	ENSDARP00000002079	FAM8A1	ENSEEEG00000016050	ENSEEEP00000033708	fam8a1b
ENSDARG00000041689	ENSDARP00000002107	USF1	ENSEEEG00000009548	ENSEEEP00000019514	USF1
ENSDARG00000004956	ENSDARP00000002108	ZMAT2	ENSEEEG00000007442	ENSEEEP00000014940	ZMAT2
ENSDARG00000021346	ENSDARP00000002122	PDHB	ENSEEEG00000007841	ENSEEEP00000015877	PDHB
ENSDARG00000016396	ENSDARP00000002156	FAM219A	ENSEEEG00000015077	ENSEEEP00000031557	fam219aa
ENSDARG00000012468	ENSDARP00000002180	AACS	ENSEEEG00000009542	ENSEEEP00000019494	AACS
ENSDARG00000018002	ENSDARP00000002223	ECI1	ENSEEEG00000020586	ENSEEEP00000043556	ECI1
ENSDARG00000010630	ENSDARP00000002263	HOXB6	ENSEEEG00000003973	ENSEEEP00000007603	hoxb6a
ENSDARG00000003841	ENSDARP00000002264	USB1	ENSEEEG00000026156	ENSEEEP00000057773	USB1
ENSDARG00000020465	ENSDARP00000002269	ewsr1b	ENSEEEG00000012675	ENSEEEP00000026218	ewsr1b
ENSDARG00000013441	ENSDARP00000002357	HEY2	ENSEEEG00000017526	ENSEEEP00000036903	HEY2
ENSDARG00000017994	ENSDARP00000002367	TSSK6	ENSEEEG00000021139	ENSEEEP00000044782	TSSK2
ENSDARG00000020948	ENSDARP00000002411	GMCL1	ENSEEEG00000017236	ENSEEEP00000036275	gmcl1
ENSDARG00000005945	ENSDARP00000002453	sart1	ENSEEEG00000002033	ENSEEEP00000003968	SART1
ENSDARG00000003642	ENSDARP00000002470	ZFYVE19	ENSEEEG00000021431	ENSEEEP00000045402	ZFYVE19
ENSDARG00000073710	ENSDARP00000002502	USP7	ENSEEEG00000020925	ENSEEEP00000045158	USP7
ENSDARG00000069995	ENSDARP00000002507	DPY19L1	ENSEEEG00000011914	ENSEEEP00000024603	dpy19l1l
ENSDARG00000004151	ENSDARP00000002531	RAB23	ENSEEEG00000008983	ENSEEEP00000018284	RAB23
ENSDARG00000006603	ENSDARP00000002532	CSRP1	ENSEEEG00000007092	ENSEEEP00000014262	csrp1a
ENSDARG00000014685	ENSDARP00000002535	ESCO2	ENSEEEG00000017450	ENSEEEP00000036767	ESCO2
ENSDARG00000009087	ENSDARP00000002547	cd74a	ENSEEEG00000014768	ENSEEEP00000055587	cd74a
ENSDARG00000003573	ENSDARP00000002605	DCTN5	ENSEEEG00000006325	ENSEEEP00000012613	DCTN5
ENSDARG00000010381	ENSDARP00000002609	RNF2	ENSEEEG00000019736	ENSEEEP00000041729	RNF2
ENSDARG00000015070	ENSDARP00000002618	POLA2	ENSEEEG00000010866	ENSEEEP00000022425	pola2
ENSDARG00000005371	ENSDARP00000002697	GPRC6A	ENSEEEG00000010466	ENSEEEP00000021482	GPRC6A
ENSDARG00000020606	ENSDARP00000002745	NFE2	ENSEEEG00000024905	ENSEEEP00000057131	NFE2
ENSDARG00000013839	ENSDARP00000002746	aldh3b1	ENSEEEG00000004287	ENSEEEP00000008435	aldh3b1
ENSDARG00000015955	ENSDARP00000002797	cldn3d	ENSEEEG00000005430	ENSEEEP00000010727	cldnc
ENSDARG00000057143	ENSDARP00000002813	nradd	ENSEEEG00000013294	ENSEEEP00000027599	nradd
ENSDARG00000013837	ENSDARP00000002837	spo11	ENSEEEG00000007083	ENSEEEP00000014255	SPO11
ENSDARG00000005191	ENSDARP00000002844	AHCY	ENSEEEG00000018907	ENSEEEP00000040072	AHCY
ENSDARG00000008097	ENSDARP00000002874	SRSF9	ENSEEEG00000012236	ENSEEEP00000025221	SRSF9
ENSDARG00000004588	ENSDARP00000002932	SOX4	ENSEEEG00000017939	ENSEEEP00000037739	sox4a
ENSDARG00000005673	ENSDARP00000002953	f3b	ENSEEEG00000017002	ENSEEEP00000035714	F3
ENSDARG00000007130	ENSDARP00000002982	MRTO4	ENSEEEG00000013650	ENSEEEP00000028387	MRTO4
ENSDARG00000012927	ENSDARP00000002994	TCEA2	ENSEEEG00000014037	ENSEEEP00000029290	TCEA2
ENSDARG00000006859	ENSDARP00000003013	NKAIN1	ENSEEEG00000018617	ENSEEEP00000039178	NKAIN1
